username,tweet_date,tweet_text,tweet_link,media_exists
@6ar6enoire,"Jun 28, 2023 · 11:55 PM UTC",On tient une des vidéos de la soirée 😹😹😹😹 #Nanterre #LaFleche  #emeutes,https://twitter.com/6ar6enoire/status/1674204993031913477?s=20,True
@bilelcapra,"Jun 28, 2023 · 11:40 PM UTC",hardcore vitry wshh #emeutes,https://twitter.com/bilelcapra/status/1674201020837117955?s=20,True
@AnonymeCitoyen,"Jun 28, 2023 · 11:48 PM UTC",Les caméras de surveillance se font exploser au fusil à pompe à Vigneux-sur-Seine (91) #Nanterre #emeutes #Nahel,https://twitter.com/AnonymeCitoyen/status/1674203039677272066?s=20,True
@n2iixv,"Jun 28, 2023 · 11:46 PM UTC",Ce soir c’est vraiment quelque choses à sarcelles ! Le commissariat #emeutes,https://twitter.com/n2iixv/status/1674202527066103816?s=20,True
@GamraRaouf,"Jun 28, 2023 · 11:20 PM UTC",3 buses on fire #emeutes #Nanterre,https://twitter.com/GamraRaouf/status/1674196038087847937?s=20,True
@tanguy_france,"Jun 28, 2023 · 11:44 PM UTC","Nous y voilà. Ils sortent les armes. L’État va-t-il les laisser faire la loi ? 

#emeutes #Nanterre twitter.com/LEPATRIOTE_13/st…",https://twitter.com/tanguy_france/status/1674202107384147970?s=20,False
@ibrah667,"Jun 28, 2023 · 10:45 PM UTC","Evry 🔥 91
 #Nanterre #Nahel #emeutes",https://twitter.com/ibrah667/status/1674187254908977152?s=20,True
@nassydi93,"Jun 28, 2023 · 11:41 PM UTC",Pont Blanc #aubervilliers #emeutes #incendie,https://twitter.com/nassydi93/status/1674201335976148993?s=20,True
@Emad_Vss,"Jun 28, 2023 · 10:58 PM UTC",Vitry 94 #emeutes twitter.com/i/web/status/167…,https://twitter.com/Emad_Vss/status/1674190439753170949?s=20,True
@Cqrbozo,"Jun 28, 2023 · 11:59 PM UTC",Boissiere mtn #emeutes,https://twitter.com/Cqrbozo/status/1674206019088465920?s=20,True
@daymokh,"Jun 28, 2023 · 9:04 PM UTC",[THREAD] Toutes les répercussions dans plusieurs villes qu’il y a eu à cause du meurtre de Naël à #Nanterre,https://twitter.com/daymokh/status/1674203164235423745?s=20,True
@DalbouMax,"Jun 28, 2023 · 10:53 PM UTC","#emeutes #lehavre
Les microbes",https://twitter.com/DalbouMax/status/1674189239527899147?s=20,True
@CerfiaFR,"Jun 28, 2023 · 11:53 PM UTC","🚨🇫🇷 FLASH | Plusieurs cocktails Molotov sont lancés sur les CRS à #Nanterre qui tirent au LBD en réponse. #émeutes

📹 @ClementLanot",https://twitter.com/CerfiaFR/status/1674204485990641664?s=20,True
@78800hls,"Jun 28, 2023 · 10:21 PM UTC",#emeutes #Nael #Nanterre 78800 Houilles twitter.com/i/web/status/167…,https://twitter.com/78800hls/status/1674181151299182592?s=20,True
@MethMomo,"Jun 28, 2023 · 11:41 PM UTC","A l’instant Trappes 
#emeutes #JusticePourNael",https://twitter.com/MethMomo/status/1674201267910979585?s=20,True
@salimndaaa,"Jun 28, 2023 · 10:31 PM UTC",Trappes #emeutes #JusticePourNael,https://twitter.com/salimndaaa/status/1674183814916997120?s=20,True
@flexxxcouple,"Jun 28, 2023 · 10:27 PM UTC",#emeutes #tranny 🤩 join FOR FREE -> onlyfans.com/flexxxcouple,https://twitter.com/flexxxcouple/status/1674182784179486726?s=20,False
@salimndaaa,"Jun 28, 2023 · 10:30 PM UTC",Trappes #JusticePourNael #emeutes,https://twitter.com/salimndaaa/status/1674183544963227650?s=20,True
@bilelcapra,"Jun 28, 2023 · 11:51 PM UTC",Vitry sur haine #emeutes,https://twitter.com/bilelcapra/status/1674203949337853954?s=20,True
@AnonymeCitoyen,"Jun 28, 2023 · 11:39 PM UTC",Une sirène d'alerte à la population a retenti à Antony (92) #Nanterre #emeutes #Nahel,https://twitter.com/AnonymeCitoyen/status/1674200793065443329?s=20,True
@Solitair94,"Jun 28, 2023 · 11:51 PM UTC","Pour suivre les News sur vitry 

👻 s0litaire94 

#Vitry #94400 #JusticePourNael #emeutes #Nael #Barbusse #emeutes #Nael #Vitry #FiveNightsAtFreddys #Tornado",https://twitter.com/Solitair94/status/1674203797571207169?s=20,True
@BasedPoland2,"Jun 28, 2023 · 11:22 PM UTC",🇫🇷 Rioters entered a police station and set fire to police vehicles. #Nanterre #emeutes #France,https://twitter.com/BasedPoland2/status/1674196482310778884?s=20,True
@Pr1cedechezloub,"Jun 28, 2023 · 11:07 PM UTC","Oui J'ACCUSE! 
#emeutes",https://twitter.com/Pr1cedechezloub/status/1674192735656370184?s=20,False
@fififleuur,"Jun 28, 2023 · 11:46 PM UTC",Nos martyrs 🇫🇷#emeutes,https://twitter.com/fififleuur/status/1674202625032560641?s=20,False
@frenchplugcoff,"Jun 28, 2023 · 8:44 PM UTC","#Nahel #Nanterre #Emeutes #ViolencesPolicieres #LGBT #RefusDobtemperer #LaPoliceTue 
Snapchat: frenchy420f 
Juste en cash main propre",https://twitter.com/frenchplugcoff/status/1674156822356279298?s=20,True
@mvalet_officiel,"Jun 28, 2023 · 11:01 PM UTC","Courage à nos anges gardiens de la #République qui font face aux émeutiers à #Nanterre et partout en #France.
Les appels d’élus de l’extrême-gauche à continuer les violences ont été entendus.
Des #émeutes, des feux, des guet-apens qui visent à faire tomber les #policiers.
#Nahel",https://twitter.com/mvalet_officiel/status/1674191252739203074?s=20,True
